беспредельничать	8	беспредельность, пробездельничать, побездельничать, бездельничать	зани:senses[1].examples[1].ru:выйти из рамок приличия; загибать; переборщить; беспредельничать; свалить межевой знак [стоячий камень] || канлъи:senses[1].examples[8].ru:беспредельничать || ракӏ:senses[1].examples[162].ru:лишиться благонравия, беспредельничать; потерять голову
яркокрасный	7	ярко красный, раскоканный	канчӏбагӏар:senses[0].examples[0].ru:(с)делать яркокрасным, (по)красить в яркокрасный цвет || канчӏбагӏараб:senses[0].text:яркокрасный || канчӏбагӏараб:senses[0].examples[0].ru:яркокрасный цвет
сах	7	ах, саха, асах, сахо, осах, снах, стах, свах, псах, усах, сих, сох, сан, сап, пах	сахӏ:senses[0].text:сах || сахӏ:senses[0].examples[0].ru:куда посыпал сах, оттуда не высыпишь кали || сахӏ:senses[0].examples[1].ru:взайми взяла у соседки один сах муки
распросы	7	расспросы, распр осы, расспрос	гьикъа-бакъи:senses[1].text:опрос; распросы || гьикъари:senses[1].text:приветствие при встрече, распросы о здоровье, о житьё-бытьё || гьикъ-бакъ:senses[0].text:опрос, распросы; допрос
подхвостник	7	подхвостье	магъакь:senses[0].text:пахва, подхвостник || магъакь:senses[0].examples[0].ru:подхвостник осла || магъакь:senses[0].examples[1].ru:ему осёл и бык нипочём, а ослиный подхвостник дорог
музыкалияб	7	музыкальный	накъира:senses[0].comment:музыкалияб алат || ноктюрн:senses[0].comment:музыкалияб лирикияб асар || оратория:senses[0].comment:музыкалияб асар
Магомед	7	Магомет, Магом ед, Магометанка	басра:senses[0].examples[4].ru:Долгой тебе жизни, Алил Магомед, Не издевайся оттого, что я в руках твоих || бецаризе:senses[0].examples[1].ru:Магомед хорошо косит || гъарин:senses[0].examples[3].ru:слушай, Магомед, где ты был целый день?
Гасан	7	Ганса, Гаван, Га сан, Гас ан, Сарган, Ганс	балагьизе:senses[4].examples[1].ru:Гасан побежал, не обращая внимания ни на кого || гъалатӏлъизе:senses[0].examples[0].ru:в этом деле Гасан ошибся || гъоркьисаялдаса:senses[0].examples[0].ru:над этой книгой Гасан работает с прошлого года
Асма	7	Алма, Сама, Асам, Аса, Астма, Басма, Масса, Масс	анибехун:senses[0].examples[3].ru:Асма говорила, что придёт сюда || бацӏцӏадаб:senses[5].examples[3].ru:Асма — девочка опрятная || бессаризе:senses[0].examples[0].ru:Асма умеет ткать
ярлыга	6	ярлыка	вехьасул:senses[1].examples[3].ru:ярлыга || иргъахъ:senses[0].text:ярлыга || иргъахъ:senses[0].examples[0].ru:чабанская ярлыга
яркожёлтым	6	ярко жёлтым, ярковатым	кантӏогьил:senses[0].examples[0].ru:сделать яркожёлтым; покрасить в яркожёлтый цвет || кантӏогьиллъизабизе:senses[0].text:понудительная форма (с)делать яркожёлтым; (по)красить в яркожёлтый цвет || кантӏогьиллъизе:senses[0].text:становиться, стать яркожёлтым; принимать, принять яркожёлтый цвет, (по)желтеть
ханша	6	хана, ханжа, Чанша, хан ша	бика:senses[0].text:жена хана, ханша || бика:senses[0].examples[0].ru:ханша || хан:senses[0].examples[4].ru:жена хана, ханша
уразы	6	разы, уреазы, указы, зразы, фразы, у разы	рамазан:senses[0].comment:святой месяц у мусульман — месяц уразы
собств	6	удобств	апанди:senses[0].comment:титул духовных лиц, прибавляется к собств. имени через дефис || дибир:senses[3].comment:Д прописная буква; имя собств. муж || зиярат:senses[3].comment:собств. имя жен.
собст	6	сост, особист	базарган:senses[1].comment:имя собст. муж. || гӏагараб:senses[3].comment:имя собст. муж. || магьди:senses[1].comment:имя собст. муж.
раздасться	6	раздастся, раздаться, раздаваться, раздавиться, раздаиваться, разрастаться	бахъине:senses[2].text:раздаваться, раздасться || вагъгъан:senses[0].examples[0].ru:раздасться — о шуме, гвалте || гьаракь:senses[0].examples[2].ru:раздасться — о звуке, о голосе
рабадан	6	раба дан, сарабанда, барабан	кӏалбиччазе:senses[0].comment:каждый вечер в месяц рабадан с наступлением темноты || кӏалкквезе:senses[0].examples[0].comment:в месяц рабадан лунного календаря || кӏалккинамоцӏ:senses[0].text:рабадан
повидимому	6	по видимому, подводимому, подсудимому, пуповидному, подвидовому	духъ:senses[0].examples[4].ru:повидимому, чтобы было || духъ:senses[0].examples[5].ru:повидимому, это годится || духъ:senses[0].examples[6].ru:повидимому, он уехал, чтобы не возвращаться
корн	6	крон, кон, корни, корон, корне, корня, корню, кори, кора, коре, керн, корт, корр, корп, копн	автомат:senses[0].examples[1].ru:автомат для поп-корна || баркаман:senses[1].text:безропотный, покорный, беспомощный || барсизе:senses[1].examples[1].ru:поджарить зерно (кукурузы и злаковых) на поп-корн
джамаат	6	диамат	бихха-хочизе:senses[0].examples[0].ru:из-за этого джамаат не станет волноваться || гъоркь:senses[0].examples[33].ru:грубиян подводит целый джамаат || данделъизабизе:senses[0].examples[0].ru:собрать джамаат
вспылчивый	6	вспыльчивый, вспыльчив	манзилкъокъаб:senses[0].text:вспылчивый, раздражительный || манзилкъокъаб:senses[0].examples[0].ru:он человек очень вспылчивый || хехаб:senses[4].text:горячий, вспылчивый
байрама	6	бай рама, байрачный	кӏалбиччанкъоялъ:senses[0].text:в день разговения, в день уразы-байрама || кӏалбиччанкъоялъ:senses[0].examples[0].ru:в день уразы-байрама подобает посещать стариков || кӏалбиччансордо:senses[0].text:ночь накануне дня разговения; ночь накануне уразы-байрама
Расул	6	Расу, Разул, Рас ул, Рассудил	анлъабилеб:senses[0].examples[3].ru:их шестого брата зовут Расул || ккезе:senses[8].examples[0].ru:Расул Гамзатов является выдающимся поэтом || кӏудияб:senses[1].examples[3].ru:Расул Гамзатов — великий поэт
яркозелёный	5	ярко зелёный, вечнозелёный	канчӏгӏурччин:senses[0].examples[1].ru:луга приняли яркозелёный (светлозелёный) цвет || канчӏгӏурччинаб:senses[0].text:яркозелёный, светлозелёный || канчӏгӏурччинлъи:senses[1].text:яркозелёный, светлозелёный цвет
червиветь	5	зачервиветь, червивость, зачервивеет, черстветь	борохь:senses[1].examples[1].ru:червиветь || жилла:senses[0].examples[0].ru:червиветь || къвекӏ:senses[0].examples[0].ru:(за)червиветь
хурджины	5	сурдины	лага:senses[3].examples[3].ru:хомяк, да сгниют его кишки, полностью загрыз мои хурджины || хулжал:senses[0].text:хурджины, чересседельные сумки, перемётные сумы; кому-либо, принимать участие в ком-либо || хулжал:senses[0].examples[0].ru:взвалить хурджины на плечо
химикияб	5	микрохимия	углерод:senses[0].comment:химикияб элемент || фосфор:senses[0].comment:химикияб элемент || фтор:senses[0].comment:химикияб элемент, газ
уразу	5	разу, уреазу, урезу, урану, сразу, указу, зразу, фразу, у разу	ахту:senses[0].examples[3].ru:когда совершаешь намаз или держишь уразу, нельзя глотать слюну || кӏалкквей:senses[1].examples[0].ru:вознаграждение за пост, уразу || кӏалкквезе:senses[0].text:поститься, держать уразу
уль	5	ул, ль, ульи, улье, нуль, руль, пуль, куль, улья, буль, гуль, улью, иль, аль, ель	авал#1:senses[0].examples[3].ru:не женись на той, о ком говорит мама [твоя], а женись на той, о ком говорят аульчане || адаб:senses[1].text:приличие; нравственность, мораль; культура поведения || алхӏам:senses[0].comment:одна из сур Корана, начинающаяся словом аль-хамд-уль-иллахи “слава Аллаху”
тухума	5	тух ума, тумака	аслу-тухум:senses[0].examples[0].ru:человек известного тухума || ачу:senses[0].examples[0].ru:эти два тухума страшно ненавидят друг друга; между этими двумя тухумами большой гнев || кьибил#3:senses[0].examples[1].ru:девушка из гордой фамилии; дочь человека из гордого тухума
сумах	5	Сумах, сума, умах, сумках, суммах, сомах, сурах, супах, пумах, суках, судах, думах, сушах, шумах, с умах	сумахъ:senses[0].text:сумах || сумахъ:senses[0].examples[0].ru:красивый сумах || сумахъ:senses[0].examples[1].ru:маленький сумах
скем	5	сем, кем, скуем, сеем, стем, ткем, суем, скеб, схем, съем, с кем, скетчем	барщи#1:senses[1].text:прекращение общения, ссора; скем-либо (из-за обиды). || гъунуб:senses[1].text:рядом; близко; скем-чем-либо к кому-чему-либо || дандчӏвазе:senses[1].text:встречать, встретить кого-что-либо; скем-чем-либо
сидетельство	5	свидетельство, свидетельств, сиятельство, издевательство, доносительство	свидетельство:senses[0].text:сидетельство || свидетельство:senses[0].examples[0].ru:сидетельство о рождении [ребёнка] || свидетельство:senses[0].examples[1].ru:сидетельство о смерти
светлосерый	5	светло серый, светловолосый, светлокрылый, светлоголовый, светлотный	канчӏцӏахӏил:senses[0].examples[0].ru:(с)делать светлосерым; (по)красить в светлосерый цвет || канчӏцӏахӏилаб:senses[0].text:светлосерый || канчӏцӏахӏиллъи:senses[1].text:светлосерый цвет
светлозелёный	5	светло зелёный, вечнозелёный, осветлённый, светлотный, возвеселённый	канчӏгӏурччин:senses[0].examples[1].ru:луга приняли яркозелёный (светлозелёный) цвет || канчӏгӏурччинаб:senses[0].text:яркозелёный, светлозелёный || канчӏгӏурччинлъи:senses[1].text:яркозелёный, светлозелёный цвет
рить	5	роить, брить, рать, нить, вить, лить, пить, рыть, ритм, шить, бить, жить, мирить, ширить, тырить	бухъардизе:senses[0].text:копать, рить; рыть землю рогами || бухъаризе:senses[0].text:копать, рить; заниматься копкой || гъуй:senses[0].examples[2].ru:(вы)рить колодец
распросить	5	расспросить, рас просить, распроститься, распространить, распростирать, испросить	гьикъа-бакъизе:senses[0].text:распрашивать, выспрашивать, разузнавать; опросить, опрашивать; спросить, спрашивать; распросить, распрашивать || гьикъизе:senses[0].text:спрашивать, спросить кого-что-либо у кого-либо; опрашивать, опросить кого-либо; распрашивать, распросить кого-либо; задавать вопрос кому-либо || лъазабизе:senses[1].examples[1].ru:распросить и разузнать
рамадан	5	рамазан, рама дан, адамантан, намаран, адамант	дагьалъги:senses[0].examples[0].comment:призыв к предутренней трапезе в месяц рамадан; аульский певец, играя на бубне, пел эти слова, подходя к каждым воротам, чтобы разбудить людей || лъабмоцӏ:senses[0].comment:у мусульман: раджаб, шаабан и рамадан || лъабмоцӏил:senses[0].comment:месяцев раджаб, шаабан и рамадан
разо	5	роза, раз, разно, разор, разов, разок, разом, рази, раза, разе, рано, разр, разв, разл, разы	бихъ-бихъизе:senses[0].text:(разо)рваться (на части); разрушаться, разрушиться || бихъ-бихъизе:senses[1].text:(разо)рвать что-либо (на части); разрывать, раздирать || бихъ-бихъизе:senses[1].examples[0].ru:(разо)рвать бумагу
ослабиться	5	осклабиться, ославиться, осла биться, ослабить, ослабляться, расслабиться, ослабителя	гьартизе:senses[0].text:провисать, провиснуть, отвиснуть; свисать, свешиваться, свеситься; ослабляться, ослабиться; становиться слабым, не тугим || тамахлъизе:senses[2].examples[1].ru:ослабиться от усталости || тантикълъизе:senses[0].text:ослабиться
наибом	5	набобом	жахӏабго:senses[0].examples[2].ru:назначив наибом, Идриса оставили в своем ауле || наиб:senses[0].examples[0].ru:Хаджи Мурат был храбрым наибом войска имама Шамиля || наиб:senses[0].examples[1].ru:назначить наибом
ложат	5	ложа, вложат, сложат, уложат, лежат, лопат, пожат, ложам, дожат, лощат, ложах, лож ат	баркала:senses[0].examples[3].ru:спасибо в карман не ложат || ботека:senses[0].comment:туго набитая подушка цилиндрической формы для поперечных краёв дивана, тахты и тому подобное; их ложат и в гостиной для знатных гостей || бурукь#1:senses[0].comment:для её изготовления в сыворотку ложат на несколько дней сушёный сычуг недельного телёнка или ягнёнка и немного кураги
кутан	5	тукан, окутан, укутан, уткан, кнута, кусан, сутан, кутай, кутал, кулан, путан, кутая, бутан, кутаю, куранта	къо-къо:senses[0].examples[1].ru:на кутан отправились по двадцать человек || охолиса:senses[0].examples[1].ru:весной он отправился на кутан || хъутан:senses[0].text:кутан (с жильём для чабанов), зимнее пастбище
кремнёвка	5	кремнёвый	жазаир:senses[0].text:кремнёвка || жазаир:senses[0].examples[0].ru:кремнёвка || мачӏу#2:senses[0].examples[0].ru:кремнёвое ружьё; кремнёвка
кошара	5	кошмара, ковара, комара, ко шара, кош ара, коша	гӏиял:senses[1].examples[0].ru:овчарня, кошара || гӏиял:senses[1].examples[5].ru:загон, кошара || къайи:senses[3].text:стойбище отары, место гуртования; кошара
избитком	5	избитом, избытком, из битком, избит ком, битком	тӏад:senses[0].examples[58].ru:с избитком || чӏабатӏхӏалаб:senses[0].text:с избитком серы, изобилующий серой || чӏандахӏалаб:senses[0].text:изобилующий вздором, с избитком пустословия
джамаата	5	диамата	данделъи:senses[1].examples[1].ru:сход аульского джамаата || дандечӏезе:senses[0].examples[1].ru:нельзя выступать против джамаата || исанаялдаса:senses[0].examples[1].ru:на сходе джамаата вынесли решение не употреблять спиртного на территории аула, начиная с нынешнего года
взайми	5	займи, взаймы, в займи	базе:senses[28].text:посыпать, давать взайми || базе:senses[28].examples[0].ru:давать (посыпать) взайми мерку пшеницы || базе:senses[28].examples[1].ru:давать взайми банку муки
бутень	5	бутен, бутена, бутене, бутены, бутену, трутень	къачи:senses[0].text:бутень || къвали:senses[0].text:бутень || къвали:senses[0].examples[4].ru:наткнулся на поле, где бутень можно выкопать
бугеб	5	бугель	панно:senses[1].text:накъиш-сурат тӏад гьабураб ва сверун рамка бугеб къоно || пансион:senses[0].text:пансион (1. квана-гьекъейги бугеб гьоркьохъеб цӏалул идара 2. общежитие || параллель:senses[0].text:параллель (1. киса-кибего бащадаб манзилалъ бугеб мухъ
бешмета	5	бешамель	бекӏикӏичӏ:senses[0].comment:для застёгивания бешмета || гужгат:senses[0].examples[0].ru:подол бешмета || гужгат:senses[0].examples[1].ru:рукав бешмета
бешмет	5	бешамель	букъизе#2:senses[0].examples[0].ru:сшить бешмет || гужгат:senses[0].text:бешмет || гӏорогинабизе:senses[0].examples[0].ru:он испачкал свой бешмет
беспокойствие	5	беспокойстве, беспокойств, спокойствие	кӏвар:senses[0].text:забота, беспокойствие о ком-чём-либо || тӏагӏам:senses[1].examples[7].ru:причинить беспокойствие || тӏагӏам:senses[2].examples[2].ru:беспокоить, причинить беспокойствие
безворсый	5	безворсовый, безволосый	давагьин:senses[0].text:ковёр безворсый || давагьин:senses[0].examples[0].ru:(со)ткать безворсый ковёр || давагьин:senses[0].examples[1].ru:стелить безворсый ковёр
аробщик	5	гардеробщик	гьакихъан:senses[0].text:аробщик, подводчик || гьокочи:senses[0].text:аробщик, подводчик; возница, кучер || гьокочи:senses[0].examples[0].ru:аробщик огрел волов кнутом
альчики	5	пальчики, мальчики, зальчики, канальчики, бокальчики, кинжальчики, кинжальчик	бекӏ:senses[1].examples[0].ru:играть в альчики || бекӏ:senses[1].examples[1].ru:играть в альчики || гӏалу:senses[0].examples[0].ru:играть в альчики
альчик	5	пальчик, мальчик, зальчик, Нальчик, аль чик, канальчик	бахине#1:senses[4].examples[1].ru:я выиграл этот альчик || бекӏ:senses[1].text:альчик, астрагал, бабки, игральная косточка || бекӏ:senses[1].examples[2].ru:кукурузные зёрна с альчик
алхамд	5	алхимия	алхӏам:senses[0].text:алхамд || алхӏам:senses[0].examples[0].ru:большой алхамд || алхӏам:senses[0].examples[1].ru:читать алхамд
яркоголубой	4	ярко голубой, голубоглазой	канчӏхъахӏил:senses[0].examples[0].ru:(с)делать яркоголубым, светлоголубым; (по)красить в яркоголубой, светлоголубой цвет || канчӏхъахӏиллъи:senses[1].text:яркоголубой, светлоголубой цвет || канчӏхъахӏиллъизабизе:senses[0].text:понудительная форма (с)делать яркоголубым, светлоголубым; (по)красить в яркоголубой, светлоголубой цвет
чирикание	4	чириканье, чирикавшие, чирикающие	чӏир-чӏиди:senses[1].text:щебетание, чирикание || чӏирчӏири:senses[0].text:щебет, писк, чирикание || чӏирчӏири:senses[0].examples[0].ru:меня разбудило чирикание птиц
четырмя	4	четырьмя, четырем	ункъабго:senses[0].examples[6].ru:умереть, уйти из жизни, уснуть навеки; четырмя плитами накрыться || ункъабго:senses[0].examples[7].ru:негодовать, быть недовольным; не соглашаться; махнуть четырмя [конечностями] || ункъо:senses[0].examples[5].ru:предложение с четырмя словами
ураза	4	раза, уреаза, уреза, урана, указа, зраза, фраза, у раза, ура за, зараз	кӏалкквей:senses[1].text:пост, ураза || паризаяб:senses[0].examples[1].comment:ураза
унти	4	унт, унии, унта, унте, уйти, унты, унту, учти, унт и	невралгия:senses[0].comment:нервабазул унти || паралич:senses[0].comment:палиж унти || ревматизм:senses[0].comment:гьуразул унти
тутже	4	туже, тут же	буссаризе:senses[0].text:периодически, неоднократно возвращаться; часто ходить куда-либо к кому-либо и тутже возвращаться || гордо:senses[0].examples[8].ru:то, что вошло через окно, из окна же и выходит; то, что получено без труда, тутже уходит от человека || гӏадалъ:senses[0].examples[3].ru:он тутже отправился обратно, словно его ударили палкой по голове
тощать	4	отощать, топать, тощ ать, истощать, ощущать	азине:senses[0].text:(по)худеть, исхудать; осунуться; (о)тощать, истощаться, истощиться; быть худым, тощим || биине:senses[5].text:(по)худеть, таять, высыхать; тощать || къадарлъизе:senses[1].text:(по)худеть, (ис)тощать, становиться худым, тощим; чахнуть
таркалы	4	татарка	гъабу:senses[0].examples[2].ru:поднять виноградную лозу на таркалы || гъабу:senses[0].examples[6].ru:установить таркалы для винограной лозы || мичил:senses[0].text:таркалы
тариката	4	татарника, фабриката, старикашка, викариата	тӏарикъат:senses[0].examples[1].ru:устаз, наставник тариката || тӏарикъатчи:senses[0].text:последователь тариката || тӏарикъатчӏужу:senses[0].text:последовательница тариката
сычуг	4	сычу	бурукь#1:senses[0].comment:для её изготовления в сыворотку ложат на несколько дней сушёный сычуг недельного телёнка или ягнёнка и немного кураги || махьа:senses[0].text:сычуг || махьа:senses[0].examples[1].ru:как кошка, съевшая сычуг
сурат	4	Сурат, сура, сутра, аурат, сурам, сушат, бурат, сучат, сурах, сур ат, сурикат	панно:senses[0].text:панно (1. ригьзабазул тӏадехунисеб гьумераб рахъалда рекӏинабураб сурат || проекция:senses[0].text:проекция (1. геометрияб кӏагӏидаялъ сурат бахъи || фотография:senses[0].comment:сурат
спортлото	4	спорт лото, спорото, мотоспорт	спортлото:senses[0].text:спортлото || спортлото:senses[0].examples[0].ru:билет спортлото || спортлото:senses[0].examples[1].ru:тираж спортлото
спортивияб	4	спортивно	спортзал:senses[0].comment:спортивияб зал || спортклуб:senses[0].comment:спортивияб клуб || спортлото:senses[0].comment:спортивияб лото
союзн	4	союз, союза, союзе, союзы, союзу	гьединлъидал:senses[0].comment:союзн. сл. || гьединлъидалин:senses[0].comment:союзн. сл. || гьединлъидалха:senses[0].comment:союзн. сл.
состояни	4	состоянии, состояние, состояний, состояния, состоянию, состояли, состоя ни, достоянии, достояние, стоянии, стояние	жен:senses[0].examples[3].ru:он в таком состояни, как будто скончался его джин-двойник || загӏип:senses[0].text:слабо; немощно; истощённо; в слабом, немощном, истощённом состояни || чӏвазе:senses[20].examples[82].ru:в угнетённом состояни; словно то поле, которое пострадало от града
смушка	4	сушка, мушка, сушкам, смешка, слушка, с мушка, см ушка	бухаритахта:senses[0].text:каракулевая смушка || кӏургӏ-кӏургӏараб:senses[1].examples[2].ru:смушка, каракулевая шкурка || суртахта:senses[0].text:смушка сур
сдасться	4	сдастся, сдаться, сдаваться, даться	къо:senses[4].examples[4].ru:сдасться, уступить, не выдержать испытания; оплошать при затрудениях || къуват:senses[0].examples[4].ru:сдасться; силу сломать || хъахӏаб:senses[4].examples[4].ru:выкинуть белый флаг, сдасться
светлозелёным	4	светло зелёным, вечнозелёным, осветлённым, светлотным, возвеселённым	канчӏгӏурччин:senses[0].examples[0].ru:(с)делать яркозелёным, светлозелёным || канчӏгӏурччинлъизабизе:senses[0].text:понудительная форма (с)делать яркозелёным, светлозелёным; (по)красить в яркозелёный, светлозелёный цвет || канчӏгӏурччинлъизе:senses[0].text:становиться, стать яркозелёным, светлозелёным; принимать, принять яркозелёный, светлозелёный цвет
светлоголубой	4	светло голубой, светлоголовой, светлоголовый, светлогорской, светловолосой	канчӏхъахӏил:senses[0].examples[0].ru:(с)делать яркоголубым, светлоголубым; (по)красить в яркоголубой, светлоголубой цвет || канчӏхъахӏиллъи:senses[1].text:яркоголубой, светлоголубой цвет || канчӏхъахӏиллъизабизе:senses[0].text:понудительная форма (с)делать яркоголубым, светлоголубым; (по)красить в яркоголубой, светлоголубой цвет
савок	4	ставок, славок, сивок, совок, севок, санок, салок, лавок, самок, садок, давок, шавок, сачок, авокадо	буххаро:senses[0].text:черпак, савок || рахъубахъ:senses[0].text:савок || ччумучч:senses[0].text:савок
румяну	4	румян, румяную, румянцу, румяна, румяно, румыну, румянь, румяня, румяню, румян у	багӏар:senses[0].examples[0].ru:румянить, наложить румяну || багӏар:senses[0].examples[2].ru:нанести румяну || басар:senses[0].examples[0].ru:наложить румяну
разн	4	раз, ран, разно, рази, раза, разе, разр, разв, разл, разы, разя, разд, разу	базе:senses[30].text:с деепричастие др. глагола выступает в роли вспомогательный глагол глагола с общим значением завершённости действиия в разн. || долда:senses[0].text:переводится формами разн. падежей || пластинка:senses[0].comment:в; разн.
разговеться	4	разгореться, разговориться, разгораться, разгоняться, разреветься	кӏал:senses[0].examples[16].ru:разговеться вечером после дневного поста; испортить пост || кӏал:senses[0].examples[22].ru:разговеться || кӏалбиччазе:senses[0].text:разговеться
пятдесять	4	пят десять, пятьдесят, пятьюдесятью, десять	щуцӏали:senses[0].text:пятдесять || щуцӏали:senses[0].examples[0].ru:пятдесять дней || щуцӏалиялда:senses[0].text:пятдесять
пропольщица	4	подпольщица, полольщица, прогульщица, поливальщица	чӏарадухъан:senses[0].text:пропольщица || юхъарухъан:senses[0].text:пропольщица || юхъарухъан:senses[0].examples[0].ru:сегодня пропольщица прополола польностью маленькое поле
последный	4	последний, последней, подледный, последовый, послеполетный, поседланный, посоленный	ахирияб:senses[0].text:последный, заключительный, конечный, окончательный || къвачӏакӏутӏ:senses[0].examples[0].ru:этот наш брат последный ребёнок в семье || кӏибекизе:senses[1].examples[0].ru:даже последный кусок хлеба переломи надвое и угощай товарища
понудить	4	поудить, понурить, посудить, побудить, по нудить, подзудить, нудить	къеркьезабизе:senses[0].text:заставить кого-либо бороться, понудить кого-либо к борьбе || кьуризабизе:senses[0].text:попросить, понудить кого-либо крутить, вращать что-либо || кьуризабизе:senses[1].text:попросить, понудить кого-либо скручивать, сучить что-либо
плитообразный	4	пластообразный, полипообразный, китообразный, щитообразный	гважимахӏаб:senses[0].text:плитообразный и продолговатый || гважимахӏаб:senses[0].examples[0].ru:плитообразный и продолговатый камень || къономахӏаб:senses[0].text:плитообразный
одным	4	оным, родным, водным, йодным, модным, годным, модны, одним, одном, очным, диодным, анодным, плодным, сходным	гьаву:senses[0].comment:слово, которое проигравший в игре чижики должен нараспев произносить одным выдохом, не перерываясь в течение определённого времени || кулум:senses[0].comment:с одным остриём || цо:senses[3].examples[13].ru:одным выстрелом
обманивать	4	обменивать, обмакивать, обманывать, обмахивать, обзванивать, оболванивать, отуманивать, подманивать	бахинабизе#1:senses[6].text:разыгрывать, разыграть кого-либо обманивать, обмануть в шутку || рекӏкӏ:senses[0].examples[0].ru:обманивать; предать, подводить, подвести; устроить подвох || хоно:senses[1].examples[8].ru:обманивать, обдурить, давать пустые обещания, кормить завтраками; набивать яйца за пазуху
ньюхать	4	нюхать	сунтӏ:senses[0].examples[0].ru:(по)ньюхать ньюхательный табак || сунтӏизабизе:senses[0].text:заставлять, заставить кого-либо ньюхать что-либо; дать кому-либо понюхать что-либо || сунтӏизабизе:senses[0].examples[0].ru:дать ньюхать табак
нукеры	4	кернеры	нукар:senses[0].examples[1].ru:записаться в нукеры || нукар:senses[0].examples[2].ru:Оружие выдели, И в нукеры запиши || нукар:senses[0].examples[3].ru:нукеры приехали в село верхом
нукер	4	нумер	нукар:senses[0].text:нукер || нукар:senses[0].examples[0].ru:нукер хана || хан:senses[0].examples[6].ru:нукер, телохранитель, воин хана
насипать	4	написать, налипать, накипать, насыпать, нащипать, наступать	цӏезабизе:senses[0].text:заполнять, заполнить; наполнять, наполнить; набивать, набить что-либо; насипать, насипать что-либо во что-либо дополна; наливать, налить что-либо чем-либо || цӏезабизе:senses[0].text:заполнять, заполнить; наполнять, наполнить; набивать, набить что-либо; насипать, насипать что-либо во что-либо дополна; наливать, налить что-либо чем-либо || цӏезе:senses[1].text:заполнять, заполнить; наполнять, наполнить; набивать, набить что-либо; насипать, насипать что-либо во что-либо дополна; наливать, налить что-либо чем-либо
