№,Слово,see also,Значение / комментарий,Комментарий диалектолога
176,гирицӏ,,валун,
177,гирцӏал,гирицӏ (from),,
178,гичир,тӏахьтӏи,отруби,
179,гоз,,шмель,
180,голъек,,трус,
181,гонглозе,цӏорозе,"замёрзнуть, превратиться в льдинки",
182,гор,,"круг | ореол | кольцо | обруч, обод | баранка, бублик, круглый хлеб с отверстием в середине (предназначен для праздничного гостинца мальчикам и как приз победителю в состязаниях по бегу, на скачках и тому подобное) | венок | окно | тряпичный круг; [используется при разбивке косточек на плоском речном камне]",
183,горо,,"шарик; ком, комок, комочек | град | осадок, который пристаёт ко дну посуды при растапливании масла, и блюдо, приготавливаемое из толокна на этом осадке; [варят на медленном огне и едят в горячем виде] | кроха, крошка",
184,гоч,,переселение,
185,гудер,,чурбан,
186,гуду,,ослёнок,
187,гузаги,гӏеретӏ,медный кувшин для содержания воды,
188,гузи,,,
189,гузизе,,семенить,
190,гулби,гвала (from),,
191,гургадиро,михир,каталка,
192,гури,,поворот,
193,гучкал,гучук (from),,
194,гучкил,гучук (from),[родительный падеж],
195,гучук,таращ,щенок,
196,гъаба,"гӏурдахӏан, шайтӏадултӏагъур",гриб,
197,гъало,,чёлка мужская,
198,гъалтугъ,хатӏих,,
199,гъамилараб,,необитаемый; дремучий,
200,гъамиллъи,,"чаща, дебри",
201,гъани,гъанигъин,,
202,гъанигъин,,,
203,гъанигъине,,"наедаться, плотно наесться; переедать, переесть; насытиться",
204,гъанигъун,,настойчиво,
205,гъанизе,гъанигъине,,
206,гъапусик,микки,голубь,
207,гъараз,гӏузру,,
208,гъараш,кьенкьро,крыжовник,
209,гъардали,цӏоросоролъ,кукуруза,
210,гъари,,отсек в хлеву,
211,гъармахъал,гъармахъ (from),застёжки,
212,гъваб,,таз,
213,гъваца,гъвала,корова безрогая,
214,гъезе,чӏезе,"(по)ставить, расставить; устанавливать, установить; [что-либо] | прикреплять, прикрепить; пришивать, пришить; приделать; [что-либо к чему-либо; что-либо] | (по)гнать, прогнать, отогнать, загнать; [кого-либо куда-либо] | накаркать; накликать; искать; [чего-либо; что-либо; чего-либо (гибельного)] | сажать, посадить; [что-либо] | наступать; [о времени] | [с некоторыми наречиями употребляется в разных значениях]",
215,гъелдареч,,калитка,
216,гъенчи,васикӏо,,
217,гъигъиди,,,
218,гъигъидизе,,"уговаривать, уговорить; упрашивать, упросить",
219,гъизигъуран,,сорт; яблок,
220,гъилди,мали,лестница,
221,гъиндуро,,калитка,
222,гъоб,,скирд; [из кукурузных стеблей и злаковых культур],
223,гъогъогьан,,куча камней,
224,гъоркьеккел,,козырь,
225,гъоркькьибил,тӏин,,
226,гъоцӏояб,,с перекрещивающимися рогами,
227,гъулден,хилъало,чечевица,
228,гъулухьаб,гӏунцараб,хмурый,
229,гъум,хӏули,пух,
230,гъунуб,аскӏоб,"рядом, близко | рядом; близко; скем-чем-либо к кому-чему-либо",
231,гъурва,,смесь кислой патоки с сушёнными сливами и айвой,
232,гьайкӏлаби,,весы; [рычажные ручные],
233,гьакьинаб,,"твёрдый, крепкий",
234,гьалакӏач,,бабочка,
235,гьандуз,пандуз,поднос,
236,гьандал,,подол; [платья],
237,гьанкӏалакӏал,цӏадираби,"весы, безмен",
238,гьанкӏизе,,(вс)копать | приподнять; [ся],
239,гьанчук,гьулак,качели,
240,гьаргва,,"коридор, прихожая",
241,гьаркьинаб,,"сильный, крепкий",
242,гьарщукӏан,гьулак,гамак,
243,гьати,,,
244,гьатизе,,"(по)гнать, отогнать, выгнать; [например скот]",
245,гьвалан,гвала,большой мешок,
246,гьвекеро,,родничок; [у детей на голове],
247,гьебщиб,гьебгощинаб,столько,
248,гьегӏел,,годовалый бычок,
249,гьекко,хекко,,
250,гьелчеро,гьулак,качели,
251,гьетел,"гӏащтӏи, чвалта","маленький топор, топорик",
252,гьи,мугь,варёное зерно; [излюбленное блюдо горцев],
253,гьину,,локоть,
254,гьирк,"миккицӏулакьо, цӏулакьо",жёлудь орех и орехи,
255,гьобо,,мельница | жёрнов | точильный камень; [круглый],
256,гьоболав,гьобол,,
257,гьоболай,гьобол,,
258,гьол,неца,,
259,гьоло,"гьолох, полох, гьи, мугь",боб; бобы; варёное зерно; [традиционное блюдо аварцев],
260,гьолох,полох,вика,
261,гьулизаз,,цикорий обыкновенный,
262,гьулчизе,,"выливать, вылить | колыхнуться, колебнуться; подниматься, накатываться, накатиться; [о волне] | качаться; [например на качелях]",
263,гьунд,гьениб,там; [ближе к собеседнику],
264,гьунхьи,сунтӏи,,
265,гьунхьизе,сунтӏизе,(по)нюхать,
266,гьурал,"гьури, онод",ревматизм,
267,гьучак,гьулак,качели,
268,гӏабатӏ,,ком; [неудачно замешанного теста],
269,гӏабтӏал,гӏабатӏ (from),,
270,гӏабтӏил,гӏабатӏ (from),[родительный падеж],
271,гӏадияб,"гӏадатаб, гӏадатияб","обычный, обыкновенный, привычный; нормальный",
272,гӏаздалтӏегь,,подснежник,
273,гӏакабечӏчӏ,,"доильник, подойник",
274,гӏакал,гӏоко (from),,
275,гӏакъраб,,фаланга | скорпион | стрелка; [часов],
276,гӏалу,бекӏ,альчик; бабка,
277,гӏамагӏ,,"горошина, комок чего-либо",
278,гӏамирко,,"амирко; [легендарная птица в аварских песнях] | растение, корень которого используется как румяну",
279,гӏангилиг,кӏалкӏучӏ,бабочка,
280,гӏанкӏиликӏиличӏ,"гӏангилиг, кӏалкӏучӏ",бабочка,
281,гӏанкӏихер,лъабгӏин,клевер,
282,гӏанщкӏеро,гьулак,"гамак, верёвочные качели",
283,гӏаракъи,парсцӏулакьо,,
284,гӏарас,зани,"изваяние, надгробие, стелла на могиле",
285,гӏарацхер,,донник лекарственный,
286,гӏарзадухъан,гӏарзачи,жалобщик,
287,гӏарсал,гӏарас (from),,
288,гӏарсил,гӏарас (from),[родительный падеж],
289,гӏаскар,аскар,,
290,гӏахьучӏ,,"враньё, выдумка; белиберда; околесица, вздор, ерунда, чушь | сказка",
291,гӏебехъ,аскӏоб,рядом,
292,гӏебучӏучӏу,,шишка; [еловая],
293,гӏелечӏаб,,уродливый,
294,гӏелечӏараб,,безудержный,
295,гӏелечӏди,"гогьдари, гочӏдари",кокетство,
296,гӏелечӏдизе,"гогьдаризе, гочӏдаризе",кокетничать,
297,гӏелечӏин,рохьдочин,,
298,гӏелечӏине,рохьдочине,быть в состоянии половой активности; быть в течке; [о животных; о самках],
299,гӏелун,кӏалкӏучӏ,бабочка,
300,гӏерщ,раххан,лопата,
301,гӏи,,"овцы, гурт, отара, баранта | овца",
302,гӏим,,сок | раствор краски,
303,гӏинлъир,,спица колоса,
304,гӏинчӏи,рагӏи,,
305,гӏинчӏизе,рагӏизе,услышать,
306,гӏогӏохит,саву,иней,
307,гӏод,бокь,хлев,
308,гӏодоб,"бортизе, гъоркь","на земле, на полу | внизу",
309,гӏоко,,булочка,
310,гӏокьоб,,крыло,
311,гӏокӏоро,,костяника,
312,гӏоржазаби,,,
313,гӏоржазабизе,,"обильно мазать что-либо чем-либо жирным, замаслить",
314,гӏоржазе,,"лосниться от жира, замаслиться",
315,гӏоржай,,,
316,гӏорщол,гӏерщ (from),[родительный падеж],
317,гӏосохер,,белена чёрная,
318,гӏоццол,"гӏуцц (from), ганчӏил",[родительный падеж] | каменный,
319,гӏочӏаб,,с короткими ушами,
320,гӏочӏокӏо,,кукла; [в виде мальчика],
321,гӏубугӏ,гӏабукӏ,"репейник, лопух",
322,гӏукӏула,ражихо,ступа,
323,гӏуна,къенеро,,
324,гӏунжи,болъо,ступенька лестницы,
325,гӏункӏкӏхӏинчӏ,къохьоллъалкӏач,летучая мышь,
326,гӏурулхӏанкъва,,синица,
327,гӏурусгъаран,гъаран,укроп,
328,гӏурусгӏанкӏу,,индюк,
329,гӏурускъвали,"картошка, гӏурустӏин",картофель,
330,гӏуруснилъ,нилъ,серп,
331,гӏурустӏин,"гӏурускъвали, картошка",картофель,
332,гӏурхъи,гӏорхъи,,
333,гӏурчи,,овсюг,
334,гӏурщби,гӏерщ (from),,
335,гӏути,квацӏи,охапка сена,
336,гӏуцц,"гамачӏ, гьецӏо",камень,
337,гӏуццмахӏаб,,камнеподобный,
338,давшан,,заяц,
339,дагъ,,клён,
340,дадалай,"дадаэбел, кӏодо, кӏодоэбел",бабушка; [по отцу],
341,дадаэбел,дадалай,бабушка (по отцу); папина мама; [буквально],
342,дадирухьен,къвал,сотканная шерстяная лента; [используют для носки кувшина по воду],
343,дала,хӏос,"лом (инструмент), засов; [чем изнутри закрывались ворота]",
344,дангъва,,"тавро, клеймо, метка, знак; эмблема | пятно | метчик, тавро; [инструмент для клеймения скота]",
345,дандалакӏучӏ,кӏалкӏучӏ,бабочка,
346,дандерек,"гӏандарак, никӏва, техтеро, цӏалач","юла, волчок",
347,данка,"гьве, гьой",собака,
348,дарбадагъ,"минатахъ, пин-пана, щущахъ","вдребезги, в пух и в прах",
349,дачухь,,"возглас, которым погоняют ослов",
350,дергело,"къохьолъалкӏач, лъалкӏач",козодой; [ночная птица] | летучая мышь,
351,диб,ракьан,надземная основа растения,
352,диги-диги,гиди-гиди,щекотка,
353,дигъил,,кувшинчик гончарный,
354,дилим,,"кусок; [арбуза, дыни]",
355,дингур,гендур,сурепка,
356,догӏори,гомог,жёлоб,
357,долого,"хехго, цудунго",рано; [о времени],
358,домори,двамдвами,,
359,доморизе,двамдвамизе,"распухать, распухнуть; раздуваться, раздуться; [о трупе]",
360,донг,"гвенд, донкӏ",яма,
361,донкӏ,"гвенд, донг",,
362,донкӏахин,гвандахин,,
363,донкӏахине,гвандахине,,
364,дорхӏоли,,смесь растительного сока с белой глиной; [полуфабрикат для приготовления патоки],
365,дугӏа,,"мольба, зов, просьба; молитва (после намаза, еды, при поминнках и тому подобное) | текст молитвы | поминальная молитва",
366,дудекӏан,годекӏан,годекан,
367,дунги,,ступа для очистки риса от шелухи,
368,дунял,дуниял,,
369,душак,,матрац,
370,жажалай,,ромашка,
371,жали,симис,,
372,жами,,глубокая тарелка для супа,
373,жаргъи,,"борт кузова арбы, подводы",
374,жегидахъги,жеги,,
375,жипу,"киса, чванта",карман,
376,жовз,,имбирь,
377,жогъна,,шмель,
378,жойиса,,в следующий раз,
379,зазакъа,,оса,
380,зазигӏункӏкӏ,гӏужрукъ,ёж,
381,зайдан,хъазан,котёл,
382,занкӏлал,зиникӏ (from),,
383,зарар,зарал,,
384,зиди,хъещтӏей,,
385,зидизе,хъещтӏезе,"кататься; [на льду, по снегу]",
386,зизи,,женская грудь,
387,зин,,барбарис,
388,зиндих,,алыча,
389,зинкъи,,,
390,зинкъизе,,(ис)щипать,
391,зинкӏил,,локоть,
392,зунгу,"узденг, хӏотӏочӏел",стремя,
393,ивус,,клоп,
394,издек,,указка,
395,икьукьи,,роза,
396,илбисбутӏ,,радуга; . дявольская дуга; [буквально],
397,илмагӏав,,упрямый; несговорчивый; своеобразный,
398,инсулъуб,,"у отца, в доме отца",
399,инчо,,корзинка,
400,ирга-нух,"ирга, ирга-къоно",,
401,исиб,,"на чужбине, на чужой стороне",
402,исиблъи,,"чужбина, чужая сторона",
403,исиблъуда,исиб,"на чужбине, на чужой стороне",
404,ици,,каменный уголь,
405,ичал,,смесь сладкой патоки с орехами и виноградом; [кулин],
406,ишкӏокӏо,,скворец,
407,калам,"капуста, хъапустӏан",капуста,
408,канакро,,"сосновая ветка; [увешанная яствами, которую ставят перед женихом во время свадьбы]",
409,кан-цӏа,канлъи,свет | зрение,
410,кариз,"гъуй, хӏавуз","колодец, бассейн",
411,карт,,"дом, двор",
412,карщ,,"каша | суп, похлёбка",
413,кашкан,,"молокосос, мальчишка | собака",
414,квацӏи,,"букет | охапка, пучок; [то количество травы, стеблей злаковых, которую можно охватить одной рукой при косьбе, жатве] | пучок",
415,кведехал,гьегь,корзина,
416,квелъ,,"вожжи; поводья; узда | ягода винограда, виноградина",
417,квен-къел,квен-тӏех,еда и питьё,
418,кверлъин,гормендо,"платок (головной), головная повязка; [женская]",
419,квешжо,жунжра,клоп,
420,кедекаб,,проворный,
421,кепели,,выхор,
422,кету,катитӏинчӏ,кошка | гроздь винограда,
423,киз,буртина,валянный ковёр,
424,кикаб,гьитӏинаб,маленький | Кикав; [имя собственное мужское],
425,киндир,,верёвка,
426,кираж,гач,известь,
427,ккам,,деревянный комод; [для хранения зерна],
428,ккап,чинкир,,
429,кодожо,,большой глиняный кувшин,
430,кожогьан,,тумбочка,
431,койокру,,подставка-сосуд для лучины,
432,кономахӏу,свенек,деревянная трубка; [(в отверстии люльки для стока мочи) см.],
433,кудари,гӏеретӏ,кувшин (водоносный) глиняный кувшин для засола сыра,
434,кулум,газа,кирка; [с одним остриём],
435,кумараб,кваранаб,правый,
436,кунта,,"платье, рубашка, рубаха.",
437,кунчӏеро,,светлячок,
438,курси,,маленький стул; [на трёх ножках со спинкой],
439,курчӏу,каратӏ,"отверстие, дыра",
440,кусагӏака,,безрогая корова,
441,къагъдали,цӏоросаролъ,кукуруза,
442,къадалаб,къадако,воробей,
443,къадалъеял,,клопы,
444,къадежо,къадеквен,обед,
445,къадиса,,обед,
446,къай,къазе,"комок, ком | кусок теста, приготовленный для раскатки | связка чего-л | удерживание",
447,къак,,"тощая, худая скотина",
448,къакъа,,лепёшка,
449,къакъу,,кувшин,
450,къакъуцӏ,къакъач,продолговатый кусок толокна; початок кукурузы | небольшая порция толокна; [раздают в пятницу как милостыню],
451,къалал,,нос,
452,къам,,"гребень | чуб, чёлка",
453,къамуштӏи,хъапустӏан,капуста,
454,къансмагъалу,,коровяк,
455,къарагъ,рагӏал,берег,
456,къари,,ведьма,
457,къаркъуш,,шлак,
458,къасилохъа,къасимехалъ,"вечером, ночью",
459,къачи,къвали,бутень,
460,къвалаб,,"пегий, пёстрый | пёстрой расцветки; [чёрный с белым]",
461,къвали,,бутень; [съедобная трава с белыми цветами и съедобным клубнем] | картофель,
462,къверкъ,,"лягушка, жаба | рубанок",
463,къвикъви,,мушмула,
464,къеперо,,"ловушка, силки",
465,къереро,,гармонь,
466,къецен,къец,,
467,къивукъ,,глина; [используется для побелки стен],
468,къинкӏари,"къинкӏаризе, къенкӏей",,
469,къинкӏаризе,къенкӏезе,подмигивать,
470,къиркъир,,бабочка,
471,къоб,пурцимахх,"лемех, сошник",
472,къоб,бакъ,малярия,
473,къор,,"западня, ловушка, капкан, силки | волчья яма | подземный ход, подкоп | вид мягкой травы; [употребляется вместо ваты] | место, где хранят молоко; подпол",
474,къорола,,паук,
475,къукӏараб,къулараб,,
476,къукӏи,къули,,
477,къукӏизаби,къулизаби,,
478,къукӏизабизе,къулизабизе,,
479,къукӏизе,къулизе,,
480,къунтӏ,,щипок,
481,къутӏин,,отсек в хлеву,
482,къутӏулаб,,насморк,
483,къутӏуш,къватӏулъажо,"ублюдок; незаконнорождённый, внебрачный ребёнок",
484,къуччах,,лихач,
485,кьабгӏезе,кьабезе,,
486,кьабгӏей,кьабей,,
487,кьабгӏи,кьаби,,
488,кьабгӏизе,кьабизе,,
489,кьакьа,гӏачӏанкъвали,топинамбур,
490,кьвагьеродахӏа,,колокольчик,
491,кьвах,,горец змеиный,
492,кьерхач,"гъеду, кьерхадулаб",,
493,кьилитӏагъур,,папаха; седло-шапка; [буквально],
494,кьиндал,,"зимой, зимою",
495,кьину,раса,корыто; [деревянное для теста],
496,кьихь,,"подол, нижний край платья, рубашки",
497,кьороб,гьоркьоб,,
498,кьурук,милъиршо,ласточка,
499,кьухъ,тӏуц,,
500,кьухъаб,тӏуцаб,,
501,кьухълъи,"кьухълъизе, тӏуцлъи",,
502,кьухълъизаби,"кьухълъизабизе, тӏуцлъизаби",,
503,кьухълъизабизе,тӏуцлъизабизе,,
504,кьухълъизе,тӏуцлъизе,,
505,кӏада,"гиби, дад",глиняный крупный сосуд; [для хранения молочных продуктов и сбывания масла],
506,кӏакӏаля,,сорт; груш,
507,кӏакӏо,,"каменная ступка, куда кладуть пищу для собак",
508,кӏалабоголъ,"кӏалалъ, кӏалалъбакӏалда",,
509,кӏалгӏачи,,медник,
510,кӏама,тӏорахь,сливочное масло,
511,кӏанлъал,,близнецы,
512,кӏанцӏ,,глубокая тарелка для супа,
513,кӏартӏуп,картошка,картофель,
514,кӏас-кӏасиялда,,переваливаясь из стороны в сторону; приседая | подпрыгивая,
515,кӏаттали,,белая глина; [используемая при приготовлении патоки из фруктового сока],
516,кӏатӏагъуд,гел,ковш,
517,кӏатӏахӏчирахъ,,керосиновая лампа; [местного изготовления],
518,кӏатӏи,,платок,
519,кӏатӏизе,кӏутӏизе,"задевать, задеть кого-либо; [словом]",
520,кӏатӏули,"кӏартӏуп, картошка",картофель,
521,кӏач-кӏачи,кӏач-кӏачизе,,
522,кӏач-кӏачизе,,сморщиться,
523,кӏванкъа,,рогатка,
524,кӏенвер,,сорт яблок,
525,кӏерекӏ,,хвоя,
526,кӏертмахӏо,,икра ноги,
527,кӏикӏимичу,,черёмуха обыкновенная,
528,кӏисири,,деревянная бадья; [для содержания сыпучих тел],
529,кӏитӏан,,сундук,
530,кӏитӏу,,сундук,
531,кӏкӏведекӏкӏ,,хвоя,
532,кӏкӏурба,,веснушки,
533,кӏодо,,"бабушка | бабушка; [при обращении к пожилой женщине] | старушка | дедушка, дед | дедушка; [при обращении к пожилому мужчине]",
534,кӏокӏоша,,горлянка,
535,кӏорж,,"место, где готовят корм для скота",
536,кӏоркӏоно,,"виноградина, ягодка | алыча",
537,кӏочӏо,кӏучӏ,козявка; [затвердевшая сопля],
538,кӏудаб,кӏудияб,,
539,кӏудаинсул,кӏудаэмен (from),[родительный падеж],
540,кӏудаэмен,,"дедушка, дед | дедушка; [при обращении к пожилому человеку] | Кудаэмен; [имя собственное мужское]",
541,кӏуди,"кӏудада, кӏудаэмен","дедушка, дед дедушка; [при обращении к пожилому человеку] | Куди; [имя собственное мужское]",
542,кӏунцӏлахӏлъун,,"внезапно, бесследно; как в воду канул",
543,кӏуркӏури,гулгун,"кумган, медный кувшинчик",
544,кӏутӏ,,клюв,
545,кӏутӏ,кӏущтӏа,вязанка; [из нескольких охапок скошенной травы] | вязанка; [как единица измерения],
546,кӏутӏкӏутӏ,гъотӏоркӏо,дятел,
547,кӏуччули,,огурец,
548,кӏущтӏа,,"вязанка; [с нескольких охапок скошенной травы] | вязанка; [как единица измерения] | связка, вязанка",
549,лаб,,подмётка | шкура; [крупных животных],
550,лагаба,щаринах,сливочное масло,
551,лагам,,таз для стирки,
552,лагам,чӏчӏвад,клён,
553,лага-макъар,,"тело, телосложение, фигура",
554,лагли,,неглубокая тарелка; [предназначенная для национальных блюд],
555,лали,,,
556,ламщо,,ботва,
557,лаплап,кӏалкӏучӏ,бабочка,
558,лапур,,копна,
559,локӏо,"гьве, гьой",собака,
560,лоло,неца,"овод, слепень",
561,лугу-лугу,магь-магь-магь,ко мне; [подзывают собаку к себе],
562,лъабцӏуса,,"три раза, трижды, троекратно",
563,лъадал,,наяву,
564,лъадалхӏинчӏ,,синица,
565,лъадири,,липа,
